Key,Turkish
"""Costa Rica""","""Kosta Rika"""
"""the status""~5","""durum""~5"
*please keep this key secret and don't share it.,*Lütfen bu anahtarı gizli tutun ve kimseyle paylaşmayın.
+ Add data source,+ Veri kaynağı ekle
+ Add filter,+ Filtre ekle
+ click to select multiple cards.,+ Birden fazla kartı seçmek için tıklayın.
198?,198?
2FA,2FA
2FA Enabled,2FA Etkin
A default template cannot be deleted.,Varsayılan şablon silinemez.
A friendly hand for serious work — I'll act in the context shown above.,Ciddi işler için dostça bir yardım — Yukarıda gösterilen bağlamda hareket edeceğim.
A generated ID will be the default title.,"Oluşturulan kimlik, varsayılan başlık olacaktır."
A source template must,Bir kaynak şablonu şunları içermelidir:
A target template needs to have the following properties,Bir hedef şablonunun aşağıdaki özelliklere sahip olması gerekir
A valid email is required,E-posta gerekli
A → Z,A → Z
Accept,Kabul Et
Accept all,Hepsini kabul et
Accepted suggestion on entity,Varlıkla ilgili kabul edilen öneri
Accepting suggestions,Öneriler kabul ediliyor
Accessibility checks need attention,Erişilebilirlik denetimlerine özen gösterilmesi gerekiyor
Account,Hesap
Account locked,Hesap kilitlendi
Account unlocked successfully,Hesap başarıyla açıldı
Account updated,Hesap güncellendi
Accuracy,Doğruluk
Accuracy tooltip,"Doğruluk, işlenmiş etiketli örneklerdeki eşleşmelerin ve eşleşmeyenlerin sayısına göre belirlenir."
Action,Eylem
Actions,Eylemler
Activate,Etkinleştir
Activated,Etkinleştirildi
Active filters,Etkin filtreler
Active languages,Etkin diller
Active primary,Etkin birincil
Activity,Etkinlik
Activity log,Sistem Günlüğü
Activity Log,Sistem Günlüğü
Add,Ekle
Add / remove favorite,Favoriye ekle / Favoriden çıkarı
Add a type below.,Aşağıya bir tür ekleyin.
Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.,Mobil cihazınızla verilen QR kodunu tarayarak veya verilen anahtarı girerek uygulamaya bir hesap ekleyin.
Add as,Şu şekilde ekle:
Add data source,Veri kaynağı ekle
Add date,Tarih ekle
Add entities / documents,Varlık/Döküman ekle
Add entity,Varlık ekle
Add entity type,Varlık türü ekle
Add Extractor,Çıkarıcı Ekle
Add extractor,Çıkarıcı ekle
Add file,Dosya ekle
Add from URL,URL'den ekle
Add from web,WEB'ten ekle
Add group,Grup ekle
add icon,simge ekle
Add icon,Simge ekle
Add item,Öğe ekle
Add link,Link ekle
Add or remove relationship types for this collection.,Bu koleksiyon için ilişki türleri ekleyin veya kaldırın.
Add page,Sayfa ekle
Add PDF,PDF ekle
Add people or groups,Kişi veya grup ekle
Add property,Özellik ekle
Add relationship,İlişki ekle
Add relationship type,İlişki türü ekle
Add template,Şablon ekle
Add thesaurus,Thesaurus ekle
Add thesaurus value,Thesaurus değeri ekle
Add timelink,Zaman bağlantısı ekle
Add to all languages,Tüm dillere ekle
Add to table of contents,İçindekiler tablosuna ekle
Add to ToC,İçindekiler'e ekle
Add to training set,Eğitim kümesine ekle
Add translation,Çeviri ekle
Add user,Kullanıcı ekle
add value,Değer ekle
Add/delete users and assign roles,Kullanıcı ekleme/silme ve roller atama
Add/edit translations,Çeviri ekle/düzenle
Added language,Eklenen dil
Added new user,Yeni kullanıcı eklendi
"Added relation type ""{name}""","""{name}"" ilişki türü eklendi"
added to hub with the following errors:,Aşağıdaki hatalarla hub'a eklendi:
added to hub.,hub'a eklendi.
Adding a group and its items.,Bir grubu ve içindeki öğeleri ekleme.
Adding items to the thesauri,Thesaurus'a öğe ekleme
Adjust a few colors; secondary text and muted backgrounds update automatically.,Birkaç rengi ayarlayın; ikincil metinler ve soluk arka planlar otomatik olarak güncellenir.
Admin,Yönetici
Administrators and Editors,Yöneticiler ve Editörler
Administrators and Editors always have edit access,Yöneticiler ve Editörler her zaman düzenleme erişimine sahiptir
Admins,Yöneticiler
Advanced colors,Gelişmiş renkler
Advanced ECharts overrides,Gelişmiş ECharts geçersiz kılmaları
ALL,TÜM
All,Tümü
"All changes will be lost, are you sure you want to proceed?","Tüm değişiklikler kaybolacak, devam etmek istediğinizden emin misiniz?"
All data,Tüm veriler
All editing options will be disabled.,Tüm düzenleme seçenekleri devre dışı bırakılacaktır.
All of the paragraphs will be deleted,Tüm paragraflar silinecek
All of the previously created paragraphs will be deleted and recreated after the process.,"İşlem tamamlandıktan sonra, daha önce oluşturulmuş tüm paragraflar silinecek ve yeniden oluşturulacaktır."
Allow captcha bypass,Captcha'yı atlamaya izin ver
Allow public embedding without login,Giriş yapmadan herkese açık gömme izni ver
Already exists,Zaten mevcut
Already the same value.,Zaten aynı değer.
Amount,Miktar
An admin needs to add relationship types before you can create a relationship.,Bir ilişki oluşturabilmeniz için önce bir yöneticinin ilişki türlerini eklemesi gerekir.
An error has occured while deleting a language:,Bir dili silerken bir hata oluştu:
An error has occured while installing languages:,Dillerin yüklenmesi sırasında bir hata oluştu:
An error has occurred,Bir hata oluştu
An error has occurred during data export,Veri dışa aktarımı sırasında bir hata oluştu
An error has occurred while installing languages:,Dillerin yüklenmesi sırasında bir hata oluştu:
An error has occurred while uninstalling a language:,Bir dilin kaldırılması sırasında bir hata oluştu:
An error occurred,Bir hata oluştu
Analytics,Analitik
Analytics description,"Koleksiyon ziyaretlerinizle ilgili analiz verilerini takip etmek istiyorsanız, Uwazi hem Google Analytics’i hem de Matomo’yu desteklemektedir."
AND OR NOT,AND OR NOT
Any,Herhangi bir
Any entity,Herhangi bir varlık
any single character,herhangi bir tek karakter
Any type,Herhangi bir tür
Anyone can see this entity,Bu varlığı herkes görebilir
Appearance,Görünüş
Apply,Uygula
Are you sure you want to continue?,Devam etmek istediğinizden emin misiniz?
Are you sure you want to delete,Silmek istediğinizden emin misiniz?
"Are you sure you want to delete the selected visualizations? This action cannot be
              undone.","Seçili görselleştirmeleri silmek istediğinizden emin misiniz? Bu işlem
geri alınamaz."
Are you sure you want to delete this attachment?,Bu eki silmek istediğinizden emin misiniz?
Are you sure you want to delete this connection?,Bu bağlantıyı silmek istediğinizden emin misiniz?
Are you sure you want to delete this entity?,Bu varlığı silmek istediğinizden emin misiniz?
Are you sure you want to delete this file?,Bu dosyayı silmek istediğinizden emin misiniz?
Are you sure you want to delete this item?,Bu öğeyi silmek istediğinizden emin misiniz?
Are you sure you want to delete this relationship? This action cannot be undone.,Bu ilişkiyi silmek istediğinizden emin misiniz? Bu işlem geri alınamaz.
Are you sure you want to delete this visualization? This action cannot be undone.,Bu görselleştirmeyi silmek istediğinizden emin misiniz? Bu işlem geri alınamaz.
Are you sure?,Emin misiniz?
Ask Bert,Bert’e sor
Attachment,Ek
Attachment deleted,Ek silindi
Attachment renamed,Ekin adı değiştirildi
Attachment uploaded,Ek yüklendi
Attachments,Ekler
Authentication code,Kimlik doğrulama kodu
Auto,Auto
auto created,otomatik olarak oluşturuldu
Auto-accept suggestions,Önerileri otomatik olarak kabul et
auto-created,otomatik oluşturulmuş
Auto-translate,Auto-translate
Automatic Table of Contents,Otomatik İçindekiler
Automatically generated,Otomatik olarak oluşturuldu
Available default translation,Mevcut varsayılan çeviri
Back,Geriye git
Back to,Geri dön
Back to details,Ayrıntılara geri dön
Back to search,Aramaya geri dön
Bad Request,Hatalı İstek
Basic,Temel
Bert,Bert
