Key,Ukrainian
"""Costa Rica""","""Коста-Ріка"""
"""the status""~5","""правовий статус""~5"
*please keep this key secret and don't share it.,"*будь ласка, зберігайте цей ключ у таємниці та не передавайте його нікому."
+ Add data source,+ Додати джерело даних
+ Add filter,+ Додати фільтр
+ click to select multiple cards.,"(+) натисніть, щоб вибрати декілька карток"
198?,198?
2FA,2FA
2FA Enabled,2FA Увімкнено
A default template cannot be deleted.,Шаблон за замовчуванням не можна видалити.
A friendly hand for serious work — I'll act in the context shown above.,Допомога у серйозній роботі — я діятиму відповідно до наведеного вище контексту.
A generated ID will be the default title.,Згенерований ідентифікатор буде призначено заголовком за замовчуванням
A source template must,Вихідний шаблон повинен
A target template needs to have the following properties,Цільовий шаблон повинен мати такі властивості
A valid email is required,Потрібна дійсна електронна адреса
A → Z,А → Я
Accept,Прийняти
Accept all,Прийняти все
Accepted suggestion on entity,Прийнято пропозицію щодо організації
Accepting suggestions,Прийняття пропозицій
Accessibility checks need attention,Перевіркам доступності слід приділити увагу
Account,Акаунт
Account locked,Обліковий запис заблоковано
Account unlocked successfully,Обліковий запис успішно розблоковано
Account updated,Обліковий запис оновлено
Accuracy,Точність
Accuracy tooltip,"Точність визначається кількістю збігів та розбіжностей для мічених зразків, які були оброблені."
Action,Дія
Actions,Дії
Activate,Активувати
Activated,Активовано
Active filters,Активні фільтри
Active languages,Активні мови
Active primary,Активна первинна
Activity,Діяльність
Activity log,Журнал активності
Activity Log,Журнал активності
Add,Додати
Add / remove favorite,Додати/видалити обране
Add a type below.,Вкажіть тип нижче.
Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.,"Додайте обліковий запис до додатку, відсканувавши наданий QR-код своїм мобільним пристроєм або вставивши наданий ключ."
Add as,Додати як
Add data source,Додати джерело даних
Add date,Додати дату
Add entities / documents,Додати об'єкти/документи
Add entity,Додати об’єкт
Add entity type,Додати тип сутності
Add Extractor,Додати екстрактор
Add extractor,Додати екстрактор
Add file,Додати файл
Add from URL,Додати з URL
Add from web,Додати з інтернету
Add group,Додати групу
add icon,додати піктограму
Add icon,Додати піктограму
Add item,Додати елемент
Add link,Додати посилання
Add or remove relationship types for this collection.,Додати або видалити типи взаємозв’язків для цієї колекції.
Add page,Додати сторінку
Add PDF,Додати PDF
Add people or groups,Додати людей або групи
Add property,Додати властивість
Add relationship,Додати стосунки
Add relationship type,Додати тип зв'язку
Add template,Додати шаблон
Add thesaurus,Додати предметний покажчик
Add thesaurus value,Додати значення тезауруса
Add timelink,Додати посилання на час
Add to all languages,Додати до всіх мов
Add to table of contents,Додати в зміст
Add to ToC,Додати до змісту
Add to training set,Додати до тренувального набору
Add translation,Додати переклад
Add user,Додати користувача
add value,додавати цінність
Add/delete users and assign roles,Додати/видалити користувачів та призначити ролі
Add/edit translations,Додати/редагувати переклади
Added language,Додано мову
Added new user,Додано нового користувача
"Added relation type ""{name}""","Додано тип зв’язку ""{name}"""
added to hub with the following errors:,додано до хабу з наступними помилками:
added to hub.,додано до хабу.
Adding a group and its items.,Додавання групи та її елементів.
Adding items to the thesauri,Додавання елементів до тезаурусів
Adjust a few colors; secondary text and muted backgrounds update automatically.,Змініть кілька кольорів — додатковий текст і приглушені фони оновляться автоматично.
Admin,Адмін
Administrators and Editors,Адміністратори та Редактори
Administrators and Editors always have edit access,Адміністратори та редактори завжди мають права на редагування
Admins,Адміни
Advanced colors,Розширені кольори
Advanced ECharts overrides,Розширені перевизначення ECharts
ALL,ВСІ
All,ВСІ
"All changes will be lost, are you sure you want to proceed?","Усі зміни будуть втрачені, ви впевнені, що хочете продовжити?"
All data,Всі дані
All editing options will be disabled.,Всі опції редагування будуть вимкнені.
All of the paragraphs will be deleted,Всі абзаци будуть видалені
All of the previously created paragraphs will be deleted and recreated after the process.,Всі раніше створені абзаци будуть видалені і створені заново після завершення процесу.
Allow captcha bypass,Дозволити обхід капчі
Allow public embedding without login,Дозволити публічне вбудовування без входу в систему
Already exists,Вже існує
Already the same value.,Вже те саме значення.
Amount,Сума
An admin needs to add relationship types before you can create a relationship.,"Перш ніж ви зможете створити зв’язок, адміністратор повинен додати типи зв’язків."
An error has occured while deleting a language:,Під час видалення мови сталася помилка:
An error has occured while installing languages:,Під час встановлення мов сталася помилка:
An error has occurred,Виникла помилка
An error has occurred during data export,Під час експорту даних сталася помилка
An error has occurred while installing languages:,Під час встановлення мов сталася помилка:
An error has occurred while uninstalling a language:,Під час видалення мови сталася помилка:
An error occurred,Виникла помилка
Analytics,Аналітика
Analytics description,"Якщо ви хочете відстежувати аналітику, пов'язану з відвідуваннями вашої колекції, Uwazi підтримує як Google Analytics, так і Matomo."
AND OR NOT,AND OR NOT
Any,Будь-який
Any entity,Будь-який суб'єкт
any single character,будь-який окремий символ
Any type,Будь-який тип
Anyone can see this entity,Цей об’єкт може побачити будь-хто
Appearance,Порядок появи
Apply,Подати заявку
Are you sure you want to continue?,"Ви впевнені, що хочете продовжувати?"
Are you sure you want to delete,"Ви впевнені, що хочете видалити"
"Are you sure you want to delete the selected visualizations? This action cannot be
              undone.","Ви впевнені, що хочете видалити вибрані візуалізації? Цю дію неможливо
 скасувати."
Are you sure you want to delete this attachment?,"Ви впевнені, що хочете видалити цей вкладення?"
Are you sure you want to delete this connection?,"Ви впевнені, що хочете видалити це з'єднання?"
Are you sure you want to delete this entity?,"Ви впевнені, що хочете видалити цю сутність?"
Are you sure you want to delete this file?,"Ви впевнені, що хочете видалити цей файл?"
Are you sure you want to delete this item?,"Ви впевнені, що хочете видалити цей елемент?"
Are you sure you want to delete this relationship? This action cannot be undone.,"Ви впевнені, що хочете видалити цей зв’язок? Цю дію неможливо скасувати."
Are you sure you want to delete this visualization? This action cannot be undone.,"Ви впевнені, що хочете видалити цю візуалізацію? Цю дію неможливо скасувати."
Are you sure?,Ти впевнений?
Ask Bert,Запитай Bert
Attachment,Вкладення
Attachment deleted,Вкладення видалено
Attachment renamed,Вкладення перейменовано
Attachment uploaded,Завантажено вкладення
Attachments,Вкладення
Authentication code,Код автентифікації
auto created,автоматично створено
Auto-accept suggestions,Автоматичне прийняття пропозицій
auto-created,автоматично створено
Automatic Table of Contents,Автоматичний зміст
Automatically generated,Генерується автоматично
Available default translation,Доступний переклад за замовчуванням
Back,Назад
Back to,Назад до
Back to details,Повернутися до детальної інформації
Back to search,Назад до пошуку
Bad Request,Поганий запит
Basic,Базовий
Bert,Bert
Bidirectional,Двонаправлений
Body,Основна частина
boolean,логічні оператори
Browse files to upload,Перегляньте файли для завантаження
"by ids, methods, keywords, etc.","за ідентифікаторами, методами, ключовими словами тощо."
By logging in you accept the essential session cookie required to stay signed in.,"Увійшовши в систему, ви погоджуєтеся на використання сесійного файлу cookie, необхідного для збереження авторизації."
Can edit,Може редагувати
Can see,Може бачити
Can view,Може переглядати
Cancel,Скасування
