Key,Polish
*please keep this key secret and don't share it.,*proszę zachować ten klucz w tajemnicy i nie udostępniać go nikomu.
+ Add data source,+ Add data source
+ Add filter,+ Add filter
+ click to select multiple cards.,"(+) kliknij, aby wybrać wiele kart."
2FA,2FA
2FA Enabled,2FA włączone
A default template cannot be deleted.,Nie można usunąć szablonu domyślnego.
A friendly hand for serious work — I'll act in the context shown above.,A friendly hand for serious work — I'll act in the context shown above.
A generated ID will be the default title.,Wygenerowany identyfikator (ID) będzie tytułem domyślnym.
A source template must,Szablon źródłowy musi
A target template needs to have the following properties,Szablon docelowy musi mieć następujące właściwości
A valid email is required,Wymagany jest prawidłowy adres e-mail
A → Z,A → Z
Accept,Zaakceptuj
Accepted suggestion on entity,Zaakceptowano sugestię dotyczącą obiektu
Accepting suggestions,Akceptowanie sugestii
Accessibility checks need attention,Kontrole dostępności wymagają uwagi
Account,Konto
Account locked,Konto zablokowane
Account unlocked successfully,Konto pomyślnie odblokowane
Account updated,Konto zaktualizowane
Accuracy,Dokładność
Accuracy tooltip,"Dokładność jest określana przez liczbę dopasowań i rozbieżności dla oznaczonych próbek, które zostały przetworzone."
Action,Akcja
Actions,Actions
Activate,Aktywuj
Activated,Aktywowano
Active languages,Aktywne języki
Activity,Aktywność
Activity log,Dziennik aktywności
Activity Log,Dziennik aktywności
Add,Dodaj
Add / remove favorite,Dodaj/usuń z ulubionych
Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.,"Dodaj konto do aplikacji, skanując kod QR urządzeniem mobilnym lub wprowadzając otrzymany klucz."
Add as,Add as
Add data source,Add data source
Add date,Dodaj datę
Add entities / documents,Dodaj obiekty/dokumenty
Add entity,Add entity
Add entity type,Dodaj typ obiektu
Add Extractor,Dodaj ekstraktor
Add extractor,Dodaj ekstraktor
Add file,Dodaj plik
Add from URL,Dodaj z URL
Add from web,Dodaj z sieci
Add group,Dodaj grupę
add icon,Dodaj ikonę
Add item,Dodaj element
Add language,Dodaj język
Add link,Dodaj łącze
Add page,Dodaj stronę
Add PDF,Dodaj PDF
Add people or groups,Dodaj ludzi albo grupy
Add property,Dodaj właściwość
Add relationship,Dodaj powiązanie
Add relationship type,Dodaj rodzaj powiązań
Add template,Dodaj szablon
Add thesaurus,Dodaj tezaurus
Add thesaurus value,Dodaj wartość tezaurusa
Add timelink,Dodaj łącze czasowe
Add to all languages,Dodaj do wszystkich języków
Add to table of contents,Dodaj do spisu treści
Add to ToC,Dodaj do spisu treści
Add to training set,Dodaj do zbioru treningowego
Add translation,Add translation
Add user,Dodaj użytkownika
add value,dodaj wartość
Add/delete users and assign roles,Dodaj/usuń użytkowników i przypisz role
Add/edit translations,Dodaj/edytuj tłumaczenia
Added language,Dodano język
Added new user,Dodano nowego użytkownika
added to hub with the following errors:,dodano do huba z następującymi błędami:
added to hub.,dodano do huba.
Adding a group and its items.,Dodawanie grupy i jej elementów.
Adding items to the thesauri,Dodawanie elementów do tezaurusów
Adjust a few colors; secondary text and muted backgrounds update automatically.,Dostosuj kilka kolorów; tekst pomocniczy i wyciszone tła zaktualizują się automatycznie.
Admin,Administrator
Administrators and Editors,Administratorzy i Redaktorzy
Administrators and Editors always have edit access,Administrators and Editors always have edit access
Admins,Administratorzy
Advanced colors,Zaawansowane kolory
Advanced ECharts overrides,Advanced ECharts overrides
ALL,WSZYSTKO
All,Wszystko
"All changes will be lost, are you sure you want to proceed?","Wszystkie zmiany zostaną utracone, czy na pewno chcesz kontynuować?"
All data,Wszystkie dane
All editing options will be disabled.,Wszystkie opcje edycji zostaną wyłączone.
All of the paragraphs will be deleted,Wszystkie akapity zostaną usunięte
All of the previously created paragraphs will be deleted and recreated after the process.,Wszystkie wcześniej utworzone akapity zostaną usunięte i ponownie utworzone po zakończeniu procesu.
Allow captcha bypass,Zezwól na pominięcie captcha
Allow public embedding without login,Allow public embedding without login
Already exists,Już istnieje
Amount,Kwota
An error has occured while deleting a language:,Wystąpił błąd podczas usuwania języka:
An error has occured while installing languages:,Wystąpił błąd podczas instalowania języków:
An error has occurred,Wystąpił błąd
An error has occurred during data export,Wystąpił błąd podczas eksportu danych
An error has occurred while installing languages:,Wystąpił błąd podczas instalowania języków:
An error has occurred while uninstalling a language:,Wystąpił błąd podczas odinstalowywania języka:
An error occurred,Wystąpił błąd
Analytics,Analityka
Analytics description,"Jeśli chcesz śledzić analitykę związaną z odwiedzinami kolekcji, Uwazi wspiera Google Analytics oraz Matomo."
AND OR NOT,AND OR NOT
Any entity,Dowolny obiekt
Anyone can see this entity,Anyone can see this entity
Appearance,Appearance
Apply,Zastosuj
Are you sure you want to continue?,Czy na pewno chcesz kontynuować?
Are you sure you want to delete,Are you sure you want to delete
"Are you sure you want to delete the selected visualizations? This action cannot be
              undone.","Are you sure you want to delete the selected visualizations? This action cannot be
              undone."
Are you sure you want to delete this attachment?,Czy na pewno chcesz usunąć ten załącznik?
Are you sure you want to delete this connection?,Czy na pewno chcesz usunąć to połączenie?
Are you sure you want to delete this entity?,Czy na pewno chcesz usunąć ten obiekt?
Are you sure you want to delete this file?,Czy na pewno chcesz usunąć ten plik?
Are you sure you want to delete this item?,Czy na pewno chcesz usunąć ten element?
Are you sure you want to delete this relationship? This action cannot be undone.,Are you sure you want to delete this relationship? This action cannot be undone.
Are you sure you want to delete this visualization? This action cannot be undone.,Are you sure you want to delete this visualization? This action cannot be undone.
Are you sure?,Czy na pewno?
Ask Bert,Ask Bert
Attachment,Załącznik
Attachment deleted,Załącznik usunięty
Attachment renamed,Zmieniono nazwę załącznika
Attachment uploaded,Przesłano załącznik
Attachments,Załączniki
Authentication code,Kod uwierzytelniania
auto created,Automatycznie utworzone
Auto-accept suggestions,Automatycznie akceptuj sugestie
auto-created,utworzono automatycznie
Automatic Table of Contents,Automatyczny spis treści
Automatically generated,Wygenerowano automatycznie
Available default translation,Dostępne domyślne tłumaczenie
Back,Wstecz
Back to,Powrót do
Back to details,Back to details
Back to search,Powrót do wyszukiwania
Bad Request,Nieprawidłowe żądanie
Basic,Podstawowy
Bert,Bert
Bidirectional,Bidirectional
Body,Treść
boolean,boolean
Browse files to upload,Przeglądaj pliki do przesłania
"by ids, methods, keywords, etc.","według identyfikatorów, metod, słów kluczowych itp."
Can edit,Może edytować
Can see,Może widzieć
Can view,Może wyświetlać
Cancel,Anuluj
cancel csv import,Anuluj proces importu. Zatrzyma to tworzenie nowych obiektów. Obiekty już utworzone pozostaną bez zmian.
Canceling,Anulowanie
Canceling...,Anulowanie...
Cancelled,Anulowano
Cannot connect to server,Nie można połączyć się z serwerem
Cannot find extractor,Nie można znaleźć ekstraktora
Captcha,Captcha
Captcha bypass,"Włączając tę opcję, możesz zezwolić użytkownikom na przesyłanie formularzy z szablonów znajdujących się na białej liście bez konieczności wypełniania CAPTCHA. 
Formularz nadal będzie wyświetlał CAPTCHA użytkownikom końcowym, ale punkt końcowy API pozwoli na przesyłanie formularzy bez weryfikacji CAPTCHA, jeśli zostanie wysłany nagłówek „Bypass-Captcha: true”. 
Ta opcja jest niebezpieczna i może zostać wykorzystana do zalania Twojej instancji spamem lub 
złośliwą treścią."
Cards,Karty
Cards view,Widok kart
Category,Category
Change,Zmień
Change password,Zmień hasło
Change Password,Zmień hasło
Changes in the thesaurus will impact all the entities using these values.,Zmiany w tezaurusie będą miały wpływ na wszystkie obiekty korzystające z tych wartości.
Changing the type will erase all relationships to this entity.,Zmiana typu spowoduje usunięcie wszystkich powiązań z tym obiektem.
Character support description,Ta opcja zwiększa wsparcie dla języków niełacińskich jako domyślnych języków Twojej kolekcji.
Character support process warning,"Wybranie tej opcji spowoduje automatyczną aktualizację wszystkich właściwości szablonu. Proces ten może potrwać kilka minut. Wybranie tej opcji prawdopodobnie zmieni adresy URL filtrów biblioteki. W konsekwencji, jeśli posiadasz menu lub linki korzystające z takich adresów URL, prawdopodobnie przestaną one działać."
Character support revert warning,"Konieczne będzie ręczne ich zaktualizowanie. Po wybraniu tej opcji nie będzie można powrócić do używania starszego nazewnictwa właściwości. Jeśli nie masz problemów z nazwami właściwości szablonu, zalecamy pozostawienie tej opcji niezaznaczonej."
Chart,Chart
Chart options,Chart options
Chart theme,Chart theme
Chart type,Chart type
Chart type uses a custom view,Chart type uses a custom view
Check to make this instance public (non-logged in users can see public documents and entities),"Zaznacz, aby uczynić tę instancję publiczną (niezalogowani użytkownicy mogą widzieć publiczne dokumenty i obiekty)"
Checking which images fit the requirements,"Sprawdzanie, które obrazy spełniają wymagania..."
Choose,Wybierz
Choose relation type,Choose relation type
Choose which data to use for training,"Wybierz, których danych użyć do trenowania"
Chrome header,Nagłówek przeglądarki
Clear,Wyczyść
Clear all,Wyczyść wszystko
Clear All,Wyczyść Wszystko
Clear all filters,Clear all filters
Clear coordinates,Wyczyść współrzędne
Clear Filters,Wyczyść filtry
Clear PDF selection,Wyczyść wybór PDF
Clear search,Clear search
Click,Kliknij
Click to fill,"Kliknij, aby wypełnić"
Close,Zamknij
Code,Kod
Collaborator,Współpracownik
Collaborators,Współpracownicy
Collapse all,Zwiń wszystko
Collapse All,Zwiń wszystko
Collection,Kolekcja
Collection Name,Nazwa kolekcji
Colors,Colors
Colors come from the server data layer. Preview shows assigned bucket colors when available.,Colors come from the server data layer. Preview shows assigned bucket colors when available.
Common sources,Wspólne źródła
Completed,Zakończono
Completed with errors,Zakończono z błędami
Config,Config
Configuration,Konfiguracja
Configure filters,Konfiguruj filtry
Configure templates,Konfiguruj szablony
Confirm,Potwierdź
CONFIRM,POTWIERDŹ
Confirm action,Potwierdź akcję
Confirm delete connection,Potwierdź usunięcie połączenia
Confirm delete multiple items,Czy na pewno chcesz usunąć wszystkie zaznaczone elementy?
Confirm deletion,Potwierdź usunięcie
Confirm deletion of,Potwierdź usunięcie
Confirm deletion of entity,Potwierdź usunięcie obiektu
Confirm deletion of file,Potwierdź usunięcie pliku
Confirm new password,Potwierdź nowe hasło
Confirm your password,Confirm your password
Connect to a paragraph,Połącz z akapitem
Connect to an entity,Połącz z obiektem
Connect to entity,Connect to entity
Connected to server,Połączono z serwerem
Connection type,Typ połączenia
Contact email description,"Tutaj możesz skonfigurować kontaktowy adres e-mail oraz adres e-mail, który pojawia się, gdy Uwazi wysyła powiadomienie do użytkownika."
Contact Form,Formularz kontaktowy
Contact form email,Email formularza kontaktowego
Content translations,Tłumaczenia treści
Context,Kontekst
Continue,Kontynuuj
Conversion failed,Konwersja nie powiodła się
Copied,Copied
Copied to clipboard,Skopiowano do schowka
Copy,Copy
Copy From,Kopiuj z
Copy Highlighted,Kopiuj zaznaczone
Copy link,Kopiuj link
Copy properties to this entity from,Kopiuj właściwości do tego obiektu z
Copy to clipboard,Kopiuj do schowka
Could not add media. Please try again.,Could not add media. Please try again.
Could not be processed,Nie udało się przetworzyć
Could not create entity,Could not create entity
Could not detect the area for the selected text,"Nie udało się wykryć obszaru dla zaznaczonego tekstu, spróbuj zaznaczyć ponownie."
Could not reach server. Please try again later.,Nie udało się połączyć z serwerem. Spróbuj ponownie później.
Count,Count
Create,Utwórz
CREATE,UTWÓRZ
Create and edit thesauri,Utwórz i edytuj tezaurusy
Create Connection,Utwórz połączenie
Create dictionaries,Utwórz słowniki
Create entity,Utwórz obiekt
Create Entity,Utwórz Obiekt
Create Extractor,Utwórz ekstraktor
Create group,Utwórz grupę
Create new entities and upload documents,Twórz nowe obiekty i przesyłaj dokumenty
Create new entity from selection,Create new entity from selection
Create Reference,Utwórz Odniesienie
Create relationship,Create relationship
Create relationship types,Utwórz typy powiązań
Create relationships and references,Twórz powiązania i odniesienia
Create table of contents,Utwórz spis treści
Create visualization,Create visualization
Created,Created
Created entity,Utworzono obiekt
Created entity coming from a public form,Utworzono obiekt z formularza publicznego
Created page,Utworzono stronę
Created relation type,Utworzono typ relacji
Created relationship,Utworzono powiązanie
Created template,Utworzono szablon
Created thesaurus,Utworzono tezaurus
Created user group,Utworzono grupę użytkowników
Creating entities,Tworzenie obiektów
Creating relationships,Tworzenie powiązań
Creating thesauri,Tworzenie tezaurusów
CSS,CSS
csv blank state message,"Importuj pliki CSV lub ZIP, aby masowo tworzyć obiekty. Kliknij „New Import”, aby rozpocząć."
CSV Import,Import CSV
CSV import cancelled,Import CSV anulowany
CSV import completed,Import CSV zakończony
CSV import failed,Import CSV nie powiódł się
CSV or ZIP up to 50MB,CSV lub ZIP do 50 MB
Ctrl K,Ctrl K
Current Value/Suggestion,Bieżąca wartość/sugestia
"Custom colors are not available for this chart type. Use the chart palette or template
            colors instead.","Custom colors are not available for this chart type. Use the chart palette or template
            colors instead."
Custom component error,Błąd znaczników komponentu niestandardowego: nieobsługiwane wartości! Sprawdź konfigurację
Custom CSS,Niestandardowy CSS
Custom Favicon,Niestandardowa ikona strony
Custom JS,Niestandardowy JS
Custom landing page,Niestandardowa strona główna
custom page error warning,"Na tej niestandardowej stronie wystąpił nieoczekiwany błąd, może nie działać poprawnie. Proszę skontaktować się z administratorem, aby uzyskać szczegóły."
Custom Uploads,Niestandardowe przesyłanie
Customize,Dostosuj
Customized,Dostosowany
Dark,Ciemny
Dark Theme,Ciemny motyw
Dashboard,Panel
Data may be outdated.,Data may be outdated.
Data source,Data source
Data sources,Data sources
Data visualizations,Data visualizations
Data was updated recently. You can refresh again in a few seconds.,Data was updated recently. You can refresh again in a few seconds.
Date,Data
Date added,Data dodania
Date format,Format daty
Date modified,Data modyfikacji
"Date or numeric × numeric enables scatter and heatmap. Line, area, and bar plot the
                measure over the primary dimension (e.g. max engine size per registration date).","Date or numeric × numeric enables scatter and heatmap. Line, area, and bar plot the
                measure over the primary dimension (e.g. max engine size per registration date)."
"Date or numeric × select enables line and area charts with one line per breakdown
                value over time.","Date or numeric × select enables line and area charts with one line per breakdown
                value over time."
Day,Dzień
"Deep-merged onto the generated ECharts option. Use for fine-tuning options not exposed in
          the Chart tab.","Deep-merged onto the generated ECharts option. Use for fine-tuning options not exposed in
          the Chart tab."
Default,Domyślne
Default date format,Domyślny format daty
Default filter,Domyślny filtr
Default language,Język domyślny
Default language change success,Pomyślnie zmieniono język domyślny
Default template,Szablon domyślny
Default template set successfully.,Pomyślnie ustawiono szablon domyślny.
Default View,Widok domyślny
Delete,Usuń
DELETE,USUŃ
Delete entities and documents,Usuń obiekty i dokumenty
Delete file,Usuń plik
Delete language,Usuń język
Delete relationship,Delete relationship
Delete relationships,Delete relationships
Delete?,Usunąć?
Deleted attachment,Usunięto załącznik
Deleted custom file,Usunięto plik niestandardowy
Deleted entity,Usunięto obiekt
Deleted file,Usunięto plik
Deleted multiple entities,Usunięto wiele obiektów
Deleted page,Usunięto stronę
Deleted relation type,Usunięto typ relacji
