Key,Component,View,Context
"""Costa Rica""",Search tip example,Entity view,"Monospace example query in the search tips popover, illustrating an exact phrase search."
"""the status""~5",Search tip example,Entity view,"Monospace example query in the search tips popover, illustrating a proximity search."
*please keep this key secret and don't share it.,Field label (warning note),Settings > Account,"Secondary warning line under the secret-key label, cautioning the user not to share the key."
+ Add data source,Button label,Settings > Dataviz > Data tab,Button below the data sources list that opens the Add Data Source modal.
+ Add filter,Button label,Settings > Data Visualizations,Adds a new empty filter row in the Filters section of the Dataviz editor.
+ click to select multiple cards.,Inline hint text,Library,Closing phrase of the multi-select keyboard hint shown under the Library grid.
198?,Search tip example,Entity view,"Monospace example query in the search tips popover, illustrating a single-character wildcard."
2FA Enabled,Toast notification,Settings > Account,Success toast shown after the user successfully enables two-factor authentication.
A → Z,Dropdown option label,Entity view,Ascending sort option in the relationships panel's sort menu.
A default template cannot be deleted.,Tooltip text,Settings > Templates,Tooltip on the disabled row-selection checkbox for a default template in the templates list table.
A friendly hand for serious work — I'll act in the context shown above.,Welcome subtitle,AI Assistant (Bert) panel,"Subtitle text under the Bert greeting, describing the assistant's role."
A generated ID will be the default title.,Tooltip text,Settings > Templates,"Tooltip on the help icon next to the ""Generated ID"" checkbox in the property editor panel."
A source template must,Empty-state text,Settings > Paragraph Extraction,Intro line for the list of requirements shown when no source template qualifies for selection.
A target template needs to have the following properties,Empty-state text,Settings > Paragraph Extraction,Intro line for the list of requirements shown when no target template qualifies for selection.
A valid email is required,Validation error message,Settings > Account,Error text shown under the email field when the entered email fails format validation.
Accept,Button label,Shared (used across 4 views),"Button that accepts an extraction suggestion, shown as an icon button in the suggestions table row and as the submit button in the PDF/Property review sidepanels."
Accept all,Button label,Global,"Button in the site-wide cookie consent banner that accepts all cookies, including analytics."
Accepted suggestion on entity,Table cell text,Settings > Activity Log,"Value of `desc: 'Accepted suggestion on entity'` in the `ParsedActions` lookup in app/api/activitylog/activitylogParser.ts, surfaced as `semantic.description` and rendered via `<Translate className=""font-semibold"">{semanticData.description}</Translate>` in app/react/V2/Routes/Settings/ActivityLog/components/TableElements.tsx."
Accepting suggestions,Progress status message,Settings > Metadata extraction,Progress label shown while accepted suggestions are being automatically applied to entities.
Accessibility checks need attention,Warning banner text,Settings > Theme and branding,Warning shown above the live preview when one or more color-contrast accessibility checks fail for the current theme.
Account,Navigation link,Settings,Sidebar link in the Settings navigation menu that routes to the account settings page.
Account locked,Tooltip,Settings > Users & Groups,Tooltip on the lock icon next to a username indicating the account is locked.
Account unlocked successfully,Toast notification,Settings > Users & Groups,Success toast shown after unlocking a locked user's account from the user edit sidepanel.
Account updated,Toast notification,Settings > Account,Success toast shown after the account form is submitted and the user's data is saved.
Accuracy,Stat label,Settings > Metadata extraction,"Label for the model accuracy percentage in the Statistics section of the Stats & Filters sidepanel, paired with an info tooltip."
Accuracy tooltip,Tooltip text,Settings > Metadata extraction,"Tooltip explaining how an extractor's accuracy percentage is calculated, shown next to the accuracy stat."
Action,Filter label and table column header,Shared (used across 13 views),"Labels the action/method type, used as the MultiSelect filter label in the Filters side panel and as the Action column header in the activity log table."
Actions,Screen-reader-only column header,Entity view,Hidden accessible label for the actions (kebab menu) column in the entity files table.
Activate,Toggle button state label,Unresolved,"Default-state text on the same dormant, currently-unused EnableButtonCheckbox toggle component."
Activated,Button label,Settings > Account,Disabled button on the Account page's Two-Factor Authentication card indicating 2FA is already enabled; the same word also exists as a dormant state label inside the currently-unused EnableButtonCheckbox component.
Active filters,Toggle button label,Library,Label on the expandable header bar that shows/hides the list of currently applied filter chips.
Active languages,Table heading,Settings > Languages,Heading above the table that lists the collection's installed languages.
Active primary,Status badge,Entity view,Badge marking the file currently set as the entity's active primary document.
Activity,Side panel title,Settings > Activity Log,Title of the side panel that opens to show details of a selected activity log entry.
Activity log,Navigation link,Settings,Admin-only sidebar link in the Settings navigation menu that routes to the activity log page.
Activity Log,Table heading,Settings > Activity Log,Heading text shown above the activity log table on the Activity Log page.
Add,Button label,Shared (used across 6 views),Button label used to create a new relationship type and to add a person or group when sharing an entity.
Add / remove favorite,Icon-button tooltip,Library,Tooltip on the favorite-star toggle shown on entity/document cards in the Library.
Add a type below.,Empty state helper text,Entity view,"Secondary line under ""No relationship types"" in the manage-types modal, prompting the user to add one via the form below."
Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.,Instruction list item,Settings > Account > Two-Factor Authentication setup panel,"Literal `<Translate>` text in app/react/V2/Routes/Settings/Account/Components/TwoFactorSetup.tsx, step 2 of ""Using Authenticator"" instructions — text wraps across two source lines (embedded newline), which is why the literal scanner missed it."
Add as,Field label,Entity view,Label above the dropdown in the add-file modal that lets the user choose whether the file is primary or supporting.
Add data source,Modal header title,Settings > Dataviz > Data tab,"Title of the modal opened from the Data tab's ""+ Add data source"" button, letting users pick a template to add as a new data source."
Add date,Button label,Library / Entity view,Button that adds another date entry to a multidate or multi-date-range metadata property.
Add entities / documents,Sidepanel heading / button label,Entity view,Heading of the side panel (and label of the button that opens it) used to search for and add entities/documents to a relationship hub.
Add entity,Button label,Entity view,Button that opens the search box for adding a new relationship connection in the entity metadata editor.
Add entity type,Button label / modal heading,Settings > Filters,Primary button at the bottom of the filters table that opens the Add entity type modal; also the modal's own heading.
Add extractor,Button label,Settings > Paragraph Extraction,Footer button on the extractors dashboard that opens the create-extractor wizard.
Add Extractor,Modal heading,Settings > Metadata extraction,Heading of the Extractor modal when creating a brand-new extractor.
Add file,Button label and modal title,Entity view,Button and modal-header text for opening the add-file modal and confirming a new file upload to the entity.
Add from URL,Button label,Shared (used across 2 views),Submit button on the form used to add a supporting file or media item from a URL.
Add from web,Tab label,Shared (used across 2 views),Tab inside the attachments upload modal for adding a supporting file from a web URL.
Add group,Button label / Sidepanel title,Shared (used across 4 views),"Ghost button in the thesaurus editor footer that opens the add-group sidepanel, and doubles as that sidepanel's title and submit button label."
add icon,Toggle label,Entity view,Reveals the icon/flag picker while editing an entity's title field.
Add icon,Button label,Entity view,Button in the entity editor's icon field that reveals the icon/flag picker for the entity.
Add item,Button label / Sidepanel title,Settings > Thesauri,"Button in the thesaurus editor footer that opens the sidepanel for adding new items, whose title reads the same when in add mode."
Add link,Button label,Settings > Menu,Button in the menu link/group form footer that opens the sidepanel to add a new top-level link.
Add or remove relationship types for this collection.,Modal subtitle,Entity view,"Descriptive text under the ""Manage relationship types"" modal heading."
Add page,Button label,Settings > Pages,Footer button on the Pages list that navigates to the form for creating a new page.
Add PDF,Button label,Entity metadata form,"Button in the ""Primary Documents"" section of the entity edit form that opens the file picker to attach one or more PDFs."
Add people or groups,Input field label (hidden),Entity view,Hidden label for the collaborator search input in the Share modal's lookup form.
Add property,Button label,Settings > Templates,Button in the template editor footer that opens the panel for adding a new property to the template.
Add relationship type,Button label,Settings > Templates,Button in the template editor footer that opens the modal for creating a new relationship type; the same text is reused as the modal's heading.
Add template,Button label,Settings > Templates,Button in the templates list footer that links to the form for creating a new template.
Add thesaurus,Button label,Settings > Templates,Button in the template editor footer that opens the modal for creating a new thesaurus; the same text is reused as the modal's heading.
Add thesaurus value,Modal title,Entity view,Title of the modal for adding a new value to a thesaurus from a metadata field.
Add timelink,Button label,Pages,Adds a new timestamped marker while editing a video widget in a Page.
Add to all languages,Button label,Unresolved,"Label on a button to upload the same attachment file to all collection languages at once; the component that renders it has no active importer elsewhere in the codebase, so its live page could not be confirmed."
Add to table of contents,Tooltip,Entity view,Tooltip on the button in the text-selection menu that adds the selected text to the document's table of contents.
Add to ToC,Button label,Entity view,Button in the text-selection floating menu that adds the selected text as a new table-of-contents entry.
Add to training set,Screen-reader button label,Settings > Metadata extraction,Hidden accessible label on the training-set toggle button in the suggestions table when the entity is not yet marked for training.
Add translation,Button label,Entity view,"Button that opens the add-file modal in translation mode, for adding a translated copy of the primary document."
Add user,Button label,Settings > Users & Groups,Footer button on the Users tab that opens the sidepanel to create a new user.
add value,Button label,Entity view,Opens the modal to add a new thesaurus value while editing a select or multiselect metadata field.
Add/delete users and assign roles,Table row label (Permissions reference table),Settings > Users & Groups,"Value of `action` field in the `permissionsByRole` array in app/react/V2/Routes/Settings/Users/components/PermissionsListModal.tsx, rendered via `<Translate>{cell.getValue()}</Translate>` in the modal opened from the user side panel's ""Permissions"" link."
Add/edit translations,Table row label (Permissions reference table),Settings > Users & Groups,"Same lookup/component as ""Add/delete users and assign roles"" — another `action` entry in `permissionsByRole` (PermissionsListModal.tsx)."
Added language,Table cell text,Settings > Activity Log,"`desc: 'Added language'` for the `POST/api/translations/languages` action in activitylogParser.ts, surfaced as `semantic.description` and rendered via `<Translate>` in TableElements.tsx."
Added new user,Toast notification,Settings > Users & Groups,Success toast shown after creating a new user.
"Added relation type ""{name}""",Success toast notification,Entity view,"Confirmation toast shown after a new relationship type is successfully created, with the type's name interpolated."
added to hub with the following errors:,Notification message (part),Entity view,"Fragment of the toast shown when adding an entity to a relationship hub succeeds with some errors, in the entity view's relationships editor."
added to hub.,Notification message (part),Entity view,Fragment of the toast shown after successfully adding an entity to a relationship hub while editing relationships in the entity view.
Adding a group and its items.,Info banner heading,Settings > Thesauri,Heading of the info banner at the top of the sidepanel when creating a new thesaurus group.
Adding items to the thesauri,Info banner heading,Settings > Thesauri,Heading of the info banner shown in the add-item sidepanel when creating new thesaurus items.
Adjust a few colors; secondary text and muted backgrounds update automatically.,Helper text,Settings > Theme and branding,"Explanatory text at the top of the simple color-editing section, describing how a few anchor colors auto-derive the rest of the palette."
Admin,Table column header and option label,Settings > Users & Groups,Column header for the admin permission level and the admin option in the user role selector.
