Key,Greek
"""Costa Rica""","""Κόστα Ρίκα"""
"""the status""~5","""η κατάσταση""""~5"
*please keep this key secret and don't share it.,*κρατήστε μυστικό αυτό το κλειδί και μην το μοιραστείτε με κανέναν.
+ Add data source,+ Προσθήκη πηγής δεδομένων
+ Add filter,+ Προσθήκη φίλτρου
+ click to select multiple cards.,+ κάντε κλικ για να επιλέξετε πολλαπλές κάρτες.
198?,198?
2FA,2FA
2FA Enabled,Το 2FA ενεργοποιήθηκε
A default template cannot be deleted.,Ένα προεπιλεγμένο πρότυπο δεν μπορεί να διαγραφεί.
A friendly hand for serious work — I'll act in the context shown above.,Ένα φιλικό χέρι για σοβαρή δουλειά — Θα ενεργήσω σύμφωνα με το πλαίσιο που παρουσιάζεται παραπάνω.
A generated ID will be the default title.,Ως προεπιλεγμένος τίτλος θα χρησιμοποιηθεί ένα αυτόματα παραγόμενο αναγνωριστικό.
A source template must,Ένα πρότυπο προέλευσης πρέπει
A target template needs to have the following properties,Ένα πρότυπο προορισμού πρέπει να έχει τις ακόλουθες ιδιότητες
A valid email is required,Απαιτείται έγκυρη διεύθυνση email
A → Z,Α → Ω
Accept,Αποδοχή
Accept all,Αποδοχή όλων
Accepted suggestion on entity,Η πρόταση για την οντότητα έγινε αποδεκτή
Accepting suggestions,Αποδοχή προτάσεων
Accessibility checks need attention,Οι έλεγχοι προσβασιμότητας απαιτούν προσοχή
Account,Λογαριασμός
Account locked,Λογαριασμός κλειδωμένος
Account unlocked successfully,Ο λογαριασμός ξεκλειδώθηκε επιτυχώς
Account updated,Ο λογαριασμός ενημερώθηκε επιτυχώς
Accuracy,Ακρίβεια
Accuracy tooltip,Η ακρίβεια υπολογίζεται από την αναλογία επιτυχιών προς αστοχίες στα επεξεργασμένα δείγματα.
Action,Ενέργεια
Actions,Ενέργειες
Activate,Ενεργοποίηση
Activated,Ενεργοποιημένο
Active filters,Ενεργά φίλτρα
Active languages,Ενεργές γλώσσες
Active primary,Ενεργό κύριο
Activity,Δραστηριότητα
Activity log,Ημερολόγιο δραστηριοτήτων
Activity Log,Ημερολόγιο δραστηριοτήτων
Add,Προσθήκη
Add / remove favorite,Προσθήκη / αφαίρεση αγαπημένου
Add a type below.,Προσθέστε έναν τύπο παρακάτω.
Add an account to the app by scanning the provided QR code with your mobile device or by inserting the provided key.,Προσθέστε έναν λογαριασμό στην εφαρμογή σαρώνοντας τον παρεχόμενο κωδικό QR με την κινητή συσκευή σας ή εισάγοντας το παρεχόμενο κλειδί.
Add as,Προσθήκη ως
Add data source,Προσθήκη πηγής δεδομένων
Add date,Προσθήκη ημερομηνίας
Add entities / documents,Προσθήκη οντοτήτων / εγγράφων
Add entity,Προσθήκη οντότητας
Add entity type,Προσθήκη τύπου οντότητας
Add Extractor,Προσθήκη εξαγωγέα
Add extractor,Προσθήκη εξαγωγέα
Add file,Προσθήκη αρχείου
Add from URL,Προσθήκη από URL
Add from web,Προσθήκη από το διαδίκτυο
Add group,Προσθήκη ομάδας
add icon,προσθήκη εικονιδίου
Add icon,Προσθήκη εικονιδίου
Add item,Προσθήκη αντικειμένου
Add link,Προσθήκη συνδέσμου
Add or remove relationship types for this collection.,Προσθέστε ή αφαιρέστε τύπους σχέσεων για αυτή τη συλλογή.
Add page,Προσθήκη σελίδας
Add PDF,Προσθήκη PDF
Add people or groups,Προσθήκη ατόμων ή ομάδων
Add property,Προσθήκη ιδιότητας
Add relationship,Προσθήκη σχέσης
Add relationship type,Προσθήκη τύπου σχέσης
Add template,Προσθήκη προτύπου
Add thesaurus,Προσθήκη θησαυρού
Add thesaurus value,Προσθήκη τιμής θησαυρού
Add timelink,Προσθήκη χρονοσυνδέσμου
Add to all languages,Προσθήκη σε όλες τις γλώσσες
Add to table of contents,Προσθήκη στον πίνακα περιεχομένων
Add to ToC,Προσθήκη στον πίνακα περιεχομένων
Add to training set,Προσθήκη στο σύνολο εκπαίδευσης
Add translation,Προσθήκη μετάφρασης
Add user,Προσθήκη χρήστη
add value,προσθήκη τιμής
Add/delete users and assign roles,Προσθήκη/διαγραφή χρηστών και ανάθεση ρόλων
Add/edit translations,Προσθήκη/επεξεργασία μεταφράσεων
Added language,Προστέθηκε γλώσσα
Added new user,Προστέθηκε νέος χρήστης
