key,newKey,oldValue,newValue
Configure the default landing page for your site.,Landing page description,Configure the default landing page for your site.,"The landing page is the first page that visitors see when they come to your collection. The default landing page is your collection's library. You can set a different landing page by adding its relative URL here. For example:
      
A page: */page/dicxg0oagy3xgr7ixef80k9*
A filtered view in Uwazi: */library/?searchTerm=test*
An entity: */entity/9htbkgpkyy7j5rk9*
A document: */document/4y9i99fadjp833di*
      
Important: You must use relative URLs. These start with a forward slash and do not include the domain name. For example: In the address *https://yoursite.com/landingpage*, the relative URL is /landingpage
      "
Favicon is an icon that appears in the browser tab and bookmarks.,Favicon description,Favicon is an icon that appears in the browser tab and bookmarks.,"A favicon is a small icon that represents your collection in browser tabs and bookmarks. The default favicon is the Uwazi logo. To use your own:

1. Upload your icon in Custom Uploads.
2. Copy its URL.
3. Choose ""Custom Icon"" and paste the URL in the indicated field.
4. Reload the page to see your favicon in action."
"If you have added a contact form on one of your pages, this is the email address that receives the information from that form.",Receiving email description,"If you have added a contact form on one of your pages, this is the email address that receives the information from that form.","If you have a contact form, this is the email address that will receive the form's submissions."
"You can configure the email that will appear as the sender when any email is sent to the user. If this email is not set, “no-reply@uwazi.io” will be used instead.",Sending email description,"You can configure the email that will appear as the sender when any email is sent to the user.If this email is not set, “no-reply@uwazi.io” will be used instead.",This is the email address that will appear as the sender when an email is sent from your Uwazi collection to registered users. The default address is *no-reply@uwazi.io*. You can set a custom one by including your desired email address here.
Character support description,Character support description,Toggling this button enhances support for non-latin languages as the default languages. This will update all template properties automatically.,"This option enhances support for non-Latin languages as the default languages of your collection.
Selecting this option will update all template properties automatically. The process could take several minutes. Selecting this option will likely change the URLs of library filters. As a consequence, if you have menus or links using such URLs, they will probably stop working.
You will need to update them manually. After selecting this option, you will not be able to revert back to using legacy property naming. If you are not facing issues with your template property names, we recommend leaving this unchecked."
Public form URL description,Public form URL description,You can configure the URL of a different Uwazi to receive the submits from your Public Form,"If you have configured a public form and would like a different Uwazi collection to receive the submissions, enter its URL here."
Public form whitelist description,Public form whitelist description,"If you wish to include a public form on your page, you must white-list the template by selecting it from the list.","If you wish to include Public Forms on your pages, you must white-list the template IDs for which Public Forms are expected."
All entities and documents that have already this property assigned will loose its current value,Impact of property change warning,All entities and documents that have already this property assigned will loose its current value,"All entities and documents that have already this property assigned will loose its current value "
Cannot use 'any entity or document' if another relationship of the same type is already with a specific entity.,relationship consistency warning,Cannot use 'any entity or document' if another relationship of the same type is already with a specific entity.,"Cannot use 'any entity or document' if another relationship of the same type is already with a specific entity."
Here you can set up the contact email and the email that appears when Uwazi sends a notification to a user,Contact email description,Here you can set up the contact email and the email that appears when Uwazi sends a notification to a user,Here you can set up the contact email and the email that appears when Uwazi sends a notification to a user
"If it is an internal URL within this website, be sure to delete the first part",internal URL tip,"If it is an internal URL within this website, be sure to delete the first part","If it is an internal URL within this website, be sure to delete the first part"
"Improve the quality of this topic's suggestions by finding more sample documents with this label.",topic suggestions tip,"Improve the quality of this topic's suggestions by finding more sample documents with this label.","Improve the quality of this topic's suggestions by finding more sample documents with this label."
"Is the suggestion incorrect? Click on 'Reject' and Uwazi will improve on the suggestions it makes",incorrect suggestion check,"Is the suggestion incorrect? Click on 'Reject' and Uwazi will improve on the suggestions it makes","Is the suggestion incorrect? Click on 'Reject' and Uwazi will improve on the suggestions it makes"
"Open the app and select ""Add Account"" (usually a plus symbol)",2fa add account tip,"Open the app and select ""Add Account"" (usually a plus symbol)","Open the app and select ""Add Account"" (usually a plus symbol)"
"Passwords don’t match",mismatched passwords,"Passwords don’t match","Passwords don’t match"
Property delete warning,Property delete warning,Deleting a template property will delete this metadata information on all documents using this template.,Deleting a template property will delete this metadata information on all entities using this template.
"Scan the following QR code selecting the ""scan barcode"" option:",2fa QA scan tip,"Scan the following QR code selecting the ""scan barcode"" option:","Scan the following QR code selecting the ""scan barcode"" option:"
"Single relationships must have a hub,""Single relationships must have a hub",Single relationships must have a hub,"Single relationships must have a hub,""Single relationships must have a hub",Single relationships must have a hub
"The combination of entity types doesn't have any filters in common.",no filters for templates,"The combination of entity types doesn't have any filters in common.","The combination of entity types doesn't have any filters in common."
"There is an unexpected error on this custom page, it may not work properly. Please contact an admin for details.",custom page error warning,"There is an unexpected error on this custom page, it may not work properly. Please contact an admin for details.","There is an unexpected error on this custom page, it may not work properly. Please contact an admin for details."
"This action may take some time, can not be undone and will delete all the information in that language.",delete language warning,"This action may take some time, can not be undone and will delete all the information in that language.","This action may take some time, can not be undone and will delete all the information in that language."
"You won't be able to save an entity if this property is empty.",empty property tip,"You won't be able to save an entity if this property is empty.","You won't be able to save an entity if this property is empty."
An error has occured during data export,An error has occurred during data export,An error has occured during data export,An error has occurred during data export
Cancelling...,Canceling...,Cancelling...,Canceling...
Submiting,Submitting,Submiting,Submitting
Custom component error,Custom component error,"Custom component markup error: unsuported values! Please check your configuration","Custom component markup error: unsupported values! Please check your configuration"
No relationship types warning,No relationship types warning,"Relationship fields can not be added untill you have at least one relationship type to select.","Relationship fields can not be added until you have at least one relationship type to select."
labelMatchDesc,labelMatchDesc,"It has a current value and a text selection matching with the modelsuggested value and selection. It will be used as a training sample.","It has a current value and a text selection matching with the model suggested value and selection. It will be used as a training sample."
labelEmptyDesc,labelEmptyDesc,"Accepting is not available since there is no suggestion.If the value is correct and the suggestion is wrong no action is needed. It will be used as a training sample.","It has a current value and a text selection matching with the model suggested value and selection. It will be used as a training sample."
"(please keep this key secret and don't share it):",secret key recommendation,"(please keep this key secret and don't share it):","(please keep this key secret and don't share it):"
